agn Gerry      Agnew      d  11.11   101   102   103   104   105   106
blu Barry      Bluey      c  12.99     0     0     0     0     0     0
new News       Mayo       b 200.99  1502  1301  1111  2222  5555  2222
bbb Bb         Bbbbbb     x  30.99    10    50    70    11    33    55
mur Mary       Murphy     D 100.00  1000   900   800  1100   700   888
ddd D          Dddddddd   X  11.99    10    10    10    10    10    10
aut Autos      Galway     B 300.99  1201  1501  1201  1401  1801  1901
rly Paddy      Reilly     d  55.00   500   400   300   200   100     0
mty Meaty      More       b  19.99     1     2     3     4     5     6
why Willie     Whitey     C  66.88    12   100     0   450    90    11
new Name       No         p   0.00     0     0     0     0     0     0
